Volt,Freq,Zreal,Zimag
3.65,0.05013,0.02328,0.003313
3.65,0.03983,0.02364,0.003819
3.65,0.03163,0.02406,0.004397
3.65,0.02512,0.02456,0.005055
3.65,0.01996,0.02515,0.005799
3.65,0.01585,0.02586,0.006623
3.65,0.01259,0.02669,0.007529
3.65,0.01,0.02767,0.0085
3.65,0.007944,0.02878,0.009524
3.65,0.00631,0.03,0.01061
3.65,0.005012,0.03133,0.01176
3.65,0.003981,0.03274,0.013
3.65,0.003162,0.0342,0.01435
3.65,0.002512,0.03574,0.01586
3.65,0.001995,0.0373,0.01758
3.65,0.001585,0.03887,0.01955
3.65,0.001259,0.04044,0.02188
3.65,0.001,0.04201,0.02472
3.65,0.0007943,0.04358,0.02822
3.65,0.0006275,0.04525,0.03283
3.65,0.0005037,0.04688,0.03824
3.65,0.0003974,0.04873,0.0456
3.65,0.0003165,0.05076,0.0547
3.65,0.0002519,0.05185,0.06585
3.65,0.0001998,0.05356,0.08018
3.65,0.0001583,0.05742,0.09933
3.65,0.0001259,0.06139,0.1231
3.65,9.99e-05,0.06385,0.1524
3.65,7.948e-05,0.0699,0.1905
3.65,6.308e-05,0.07463,0.2377
3.65,5.009e-05,0.08073,0.2976
3.65,3.983e-05,0.08909,0.3735
3.65,3.162e-05,0.09979,0.4699
3.65,2.512e-05,0.1136,0.5909
3.65,1.995e-05,0.1289,0.7448
3.65,1.585e-05,0.1473,0.9327
3.65,1.259e-05,0.1617,1.169
3.65,9.999e-06,0.2005,1.493
3.879,10080.0,0.01209,-0.004955
3.879,8016.0,0.01202,-0.003778
3.879,6328.0,0.01199,-0.002754
3.879,5016.0,0.01201,-0.001909
3.879,3984.0,0.01208,-0.001202
3.879,3171.0,0.01218,-0.0006031
3.879,2528.0,0.01232,-9.162e-05
3.879,1976.0,0.01252,0.0003884
3.879,1578.0,0.01273,0.0007751
3.879,1266.0,0.01297,0.001105
3.879,998.3,0.01326,0.001421
3.879,796.9,0.01356,0.001682
3.879,627.8,0.01392,0.001925
3.879,505.5,0.01427,0.002122
3.879,398.0,0.01468,0.002302
3.879,315.5,0.0151,0.002443
3.879,252.4,0.01552,0.002549
3.879,198.6,0.01597,0.002631
3.879,158.4,0.0164,0.002684
3.879,125.6,0.01684,0.002719
3.879,100.4,0.01726,0.002739
3.879,79.0,0.0177,0.002751
3.879,63.34,0.0181,0.002758
3.879,50.22,0.01852,0.002763
3.879,38.42,0.01899,0.00277
3.879,31.25,0.01937,0.002779
3.879,24.93,0.01979,0.002787
3.879,19.86,0.02024,0.002787
3.879,15.63,0.02073,0.002758
3.879,12.4,0.02119,0.00269
3.879,9.931,0.02162,0.002585
3.879,7.945,0.02203,0.002447
3.879,6.317,0.0224,0.002283
3.879,5.008,0.02272,0.00211
3.879,3.946,0.023,0.001942
3.879,3.159,0.02323,0.001804
3.879,2.504,0.02343,0.001682
3.879,1.998,0.02361,0.001596
3.879,1.585,0.02378,0.001542
3.879,1.267,0.02393,0.00152
3.879,0.999,0.02409,0.001528
3.879,0.7923,0.02424,0.00157
3.879,0.6334,0.0244,0.001642
3.879,0.504,0.02456,0.001751
3.879,0.4006,0.02474,0.001891
3.879,0.3167,0.02494,0.002077
3.879,0.252,0.02515,0.0023
3.879,0.2003,0.02538,0.002569
3.879,0.1589,0.02565,0.002891
3.879,0.126,0.02597,0.003272
3.879,0.1002,0.02634,0.00372
3.879,0.07945,0.02679,0.004251
3.879,0.06317,0.02706,0.004859
3.879,0.05013,0.02753,0.005581
3.879,0.03983,0.02807,0.006415
3.879,0.03163,0.02871,0.007382
3.879,0.02512,0.02945,0.008506
3.879,0.01996,0.03031,0.009795
3.879,0.01585,0.03136,0.01128
3.879,0.01259,0.0326,0.01293
3.879,0.01,0.03409,0.01474
3.879,0.007944,0.03585,0.01667
3.879,0.00631,0.03791,0.01871
3.879,0.005012,0.04022,0.02085
3.879,0.003981,0.04274,0.02308
3.879,0.003162,0.04546,0.02545
3.879,0.002512,0.04825,0.02796
3.879,0.001995,0.0511,0.03073
3.879,0.001585,0.05395,0.03383
3.879,0.001259,0.05697,0.03745
3.879,0.001,0.06025,0.04177
3.879,0.0007943,0.0637,0.04691
3.879,0.0006275,0.06733,0.0531
3.879,0.0005037,0.07103,0.06017
3.879,0.0003974,0.07541,0.06955
3.879,0.0003165,0.08003,0.08074
3.879,0.0002519,0.08327,0.09352
3.879,0.0001998,0.08656,0.1097
3.879,0.0001583,0.09227,0.1317
3.879,0.0001259,0.09951,0.1595
3.879,9.99e-05,0.1027,0.1921
3.879,7.948e-05,0.113,0.2368
3.879,6.308e-05,0.1174,0.2898
3.879,5.009e-05,0.1249,0.3587
3.879,3.983e-05,0.1337,0.4449
3.879,3.162e-05,0.1417,0.5546
3.879,2.512e-05,0.154,0.6936
3.879,1.995e-05,0.1718,0.8691
3.879,1.585e-05,0.1887,1.088
3.879,1.259e-05,0.2073,1.362
3.879,9.999e-06,0.2336,1.707
4.187,10080.0,0.01223,-0.004837
4.187,8016.0,0.0122,-0.00366
4.187,6328.0,0.01218,-0.002622
4.187,5016.0,0.01222,-0.001768
4.187,3984.0,0.0123,-0.001051
4.187,3171.0,0.01243,-0.0004404
4.187,2528.0,0.01259,8.407e-05
4.187,1976.0,0.01281,0.0005815
4.187,1578.0,0.01305,0.0009889
4.187,1266.0,0.01331,0.001335
4.187,998.3,0.01363,0.001677
4.187,796.9,0.01397,0.001968
4.187,627.8,0.01436,0.002249
4.187,505.5,0.01476,0.002472
4.187,398.0,0.01522,0.002691
4.187,315.5,0.0157,0.00287
4.187,252.4,0.01619,0.003009
4.187,198.6,0.01672,0.003122
4.187,158.4,0.01723,0.003197
4.187,125.6,0.01775,0.003246
4.187,100.4,0.01824,0.003272
4.187,79.0,0.01874,0.003289
4.187,63.34,0.01918,0.003299
4.187,50.22,0.01962,0.003325
4.187,38.42,0.02007,0.003393
4.187,31.25,0.0204,0.003485
4.187,24.93,0.02074,0.003658
4.187,19.86,0.02119,0.003938
4.187,15.63,0.02151,0.004339
4.187,12.4,0.0219,0.004869
4.187,9.931,0.02233,0.005517
4.187,7.945,0.02291,0.006318
4.187,6.317,0.02369,0.007288
4.187,5.008,0.02472,0.008401
4.187,3.946,0.02612,0.009614
4.187,3.159,0.02777,0.01072
4.187,2.504,0.02987,0.01171
4.187,1.998,0.0322,0.0124
4.187,1.585,0.03479,0.01269
4.187,1.267,0.0373,0.01255
4.187,0.999,0.03979,0.01199
4.187,0.7923,0.04191,0.01113
4.187,0.6334,0.04362,0.01017
4.187,0.504,0.04503,0.009173
4.187,0.4006,0.04615,0.008242
4.187,0.3167,0.04707,0.007424
4.187,0.252,0.04779,0.006794
4.187,0.2003,0.04839,0.006328
4.187,0.1589,0.04891,0.006033
4.187,0.126,0.04945,0.005919
4.187,0.1002,0.04996,0.005977
4.187,0.07945,0.05053,0.006201
4.187,0.06317,0.05086,0.006573
4.187,0.05013,0.05141,0.007123
4.187,0.03983,0.05205,0.00783
4.187,0.03163,0.05278,0.008714
4.187,0.02512,0.05364,0.00977
4.187,0.01996,0.05467,0.01102
4.187,0.01585,0.05584,0.01246
4.187,0.01259,0.05721,0.01412
4.187,0.01,0.0588,0.016
4.187,0.007944,0.06063,0.01809
4.187,0.00631,0.06267,0.02042
4.187,0.005012,0.06489,0.02302
4.187,0.003981,0.06726,0.02599
4.187,0.003162,0.0696,0.02945
4.187,0.002512,0.07212,0.0336
4.187,0.001995,0.0748,0.0387
4.187,0.001585,0.07758,0.04498
4.187,0.001259,0.08056,0.05277
4.187,0.001,0.08394,0.06249
4.187,0.0007943,0.08754,0.07457
4.187,0.0006275,0.09167,0.0901
4.187,0.0005037,0.09571,0.1081
4.187,0.0003974,0.1005,0.1323
4.187,0.0003165,0.1066,0.1619
4.187,0.0002519,0.1113,0.1983
4.187,0.0001998,0.111,0.2428
4.187,0.0001583,0.1148,0.3006
4.187,0.0001259,0.1249,0.3743
4.187,9.99e-05,0.1263,0.4641
4.187,7.948e-05,0.1328,0.578
4.187,6.308e-05,0.1344,0.7204
4.187,5.009e-05,0.1409,0.9014
4.187,3.983e-05,0.1494,1.128
4.187,3.162e-05,0.1586,1.413
4.187,2.512e-05,0.1788,1.784
4.187,1.995e-05,0.197,2.251
4.193,10080.0,0.0121,-0.005162
4.193,8016.0,0.01203,-0.003968
4.193,6328.0,0.01198,-0.002911
4.193,5016.0,0.01199,-0.002043
4.193,3984.0,0.01205,-0.001321
4.193,3171.0,0.01215,-0.000711
4.193,2528.0,0.01229,-0.0001913
4.193,1976.0,0.01248,0.0002968
4.193,1578.0,0.01268,0.0006842
4.193,1266.0,0.01292,0.001012
4.193,998.3,0.0132,0.001321
4.193,796.9,0.01349,0.001574
4.193,627.8,0.01384,0.001806
4.193,505.5,0.01418,0.001987
4.193,398.0,0.01457,0.002145
4.193,315.5,0.01496,0.002265
4.193,252.4,0.01534,0.002352
4.193,198.6,0.01575,0.002417
4.193,158.4,0.01613,0.002462
4.193,125.6,0.01651,0.002497
4.193,100.4,0.01686,0.002524
4.193,79.0,0.01722,0.00256
4.193,63.34,0.01754,0.0026
4.193,50.22,0.01785,0.002668
4.193,38.42,0.01818,0.002794
4.193,31.25,0.01843,0.002946
4.193,24.93,0.01869,0.003186
4.193,19.86,0.01903,0.003528
4.193,15.63,0.01936,0.003999
4.193,12.4,0.01979,0.004588
4.193,9.931,0.02022,0.005269
4.193,7.945,0.02085,0.006074
4.193,6.317,0.02171,0.007001
4.193,5.008,0.02286,0.007993
4.193,3.946,0.02437,0.00898
4.193,3.159,0.02607,0.00976
4.193,2.504,0.02811,0.0103
4.193,1.998,0.03021,0.01049
4.193,1.585,0.03236,0.01031
4.193,1.267,0.03427,0.009824
4.193,0.999,0.03604,0.009071
4.193,0.7923,0.03746,0.008229
4.193,0.6334,0.03856,0.007416
4.193,0.504,0.03945,0.006658
4.193,0.4006,0.04016,0.006012
4.193,0.3167,0.04075,0.005491
4.193,0.252,0.04123,0.005127
4.193,0.2003,0.04166,0.004905
4.193,0.1589,0.04205,0.00482
4.193,0.126,0.04248,0.004877
4.193,0.1002,0.04294,0.00507
4.193,0.07945,0.04343,0.005411
4.193,0.06317,0.04379,0.005853
4.193,0.05013,0.04434,0.006444
4.193,0.03983,0.04497,0.007177
4.193,0.03163,0.04572,0.008047
4.193,0.02512,0.04657,0.009068
4.193,0.01996,0.04757,0.01026
4.193,0.01585,0.04872,0.01163
4.193,0.01259,0.05001,0.01319
4.193,0.01,0.05149,0.01493
4.193,0.007944,0.05313,0.01688
4.193,0.00631,0.05495,0.01906
4.193,0.005012,0.0568,0.02151
4.193,0.003981,0.05862,0.02436
4.193,0.003162,0.06067,0.02781
4.193,0.002512,0.06277,0.03197
4.193,0.001995,0.06488,0.03705
4.193,0.001585,0.06711,0.04334
4.193,0.001259,0.06936,0.05115
4.193,0.001,0.07181,0.06085
4.193,0.0007943,0.07447,0.07299
4.193,0.0006275,0.07762,0.08859
4.193,0.0005037,0.08089,0.1068
4.193,0.0003974,0.08459,0.1313
4.193,0.0003165,0.08881,0.1609
4.193,0.0002519,0.09159,0.1977
4.193,0.0001998,0.09034,0.2428
4.193,0.0001583,0.09521,0.3025
4.193,0.0001259,0.1022,0.3769
4.193,9.99e-05,0.1017,0.4679
4.193,7.948e-05,0.1113,0.5861
4.193,6.308e-05,0.1138,0.7316
4.193,5.009e-05,0.1213,0.9166
4.193,3.983e-05,0.1301,1.149
4.193,3.162e-05,0.1393,1.442
4.193,2.512e-05,0.1538,1.813
4.193,1.995e-05,0.1694,2.283
4.193,1.585e-05,0.1953,2.88
4.193,1.259e-05,0.2185,3.624
4.193,9.999e-06,0.241,4.542
3.177,4.6670000000000005e-05,0.8606275964377937,0.30726667948975805
3.177,4.325e-05,0.8606184640493261,0.30726341898696696
3.177,3.983e-05,0.8606093313418717,0.30726015837028925
3.177,3.709333333333333e-05,0.8606020231659309,0.3072575491593323
3.177,3.435666666666667e-05,0.8605947147857886,0.3072549398754701
3.177,3.162e-05,0.8605874062014663,0.3072523305187102
3.177,2.945333333333333e-05,0.8605816197231556,0.3072502645938156
3.177,2.7286666666666667e-05,0.8605758331168856,0.30724819862323616
3.177,2.512e-05,0.8605700463826678,0.307246132606976
3.177,2.3396666666666666e-05,0.8605654436119485,0.30724448929681347
3.177,2.1673333333333335e-05,0.860560840760297,0.30724284595775603
3.177,1.995e-05,0.860556237827719,0.3072412025898057
3.177,1.8583333333333332e-05,0.8605525874754911,0.30723989931808554
3.177,1.7216666666666667e-05,0.8605489370723739,0.3072385960281966
3.177,1.585e-05,0.8605452866183703,0.3072372927201398
3.177,1.4763333333333333e-05,0.8605423840259453,0.3072362564183293
3.177,1.3676666666666666e-05,0.8605394814013524,0.30723522010503407
3.177,1.259e-05,0.8605365787445922,0.3072341837802542
3.387,0.00037043333333333336,0.9283558635215892,0.1663490376972114
3.387,0.00034346666666666665,0.9282225542645257,0.16632515044933588
3.387,0.0003165,0.9280891229158709,0.16630124132426913
3.387,0.00029496666666666666,0.9279824882141839,0.16628213380235027
3.387,0.00027343333333333333,0.9278757758816082,0.16626301237000746
3.387,0.0002519,0.9277689860150522,0.16624387704460536
3.387,0.00023453333333333333,0.9276828034069895,0.16622843426616146
3.387,0.00021716666666666667,0.927596570481239,0.16621298247145636
3.387,0.0001998,0.9275102872886486,0.16619752166960133
3.387,0.00018596666666666667,0.9274415229011566,0.16618520000488568
3.387,0.00017213333333333333,0.9273727266781187,0.1661728726356631
3.387,0.0001583,0.9273038986452367,0.1661605395665391
3.387,0.0001475,0.9272501409291098,0.16615090689797105
3.387,0.0001367,0.927196363851884,0.16614127076015128
3.387,0.0001259,0.9271425674257917,0.1661316311552717
3.387,0.00011723333333333333,0.9270993834691503,0.1661238931639329
3.387,0.00010856666666666667,0.9270561870668755,0.16611615294250193
3.387,9.99e-05,0.9270129782252893,0.16610841049211159
3.65,4.6670000000000005e-05,0.8713144567901937,0.24603608919485753
3.65,4.325e-05,0.8712741026993985,0.246024694270092
3.65,3.983e-05,0.87123374345392,0.2460132978897806
3.65,3.709333333333333e-05,0.8712014444796901,0.24600417751625459
3.65,3.435666666666667e-05,0.8711691422085074,0.24599505621175655
3.65,3.162e-05,0.8711368366419953,0.24598593397674492
3.65,2.945333333333333e-05,0.8711112574260992,0.24597871108471703
3.65,2.7286666666666667e-05,0.871085676146459,0.24597148760994256
3.65,2.512e-05,0.8710600928038803,0.24596426355264897
3.65,2.3396666666666666e-05,0.8710397427343585,0.24595851723284332
3.65,2.1673333333333335e-05,0.8710193913606604,0.2459527705447729
3.65,1.995e-05,0.8709990386831916,0.2459470234885522
3.65,1.8583333333333332e-05,0.8709828973353113,0.24594246560009317
3.65,1.7216666666666667e-05,0.8709667551679369,0.2459379074802307
3.65,1.585e-05,0.87095061218127,0.24593334912902182
3.65,1.4763333333333333e-05,0.8709377759536426,0.2459297245188471
3.65,1.3676666666666666e-05,0.8709249392082725,0.2459260997624756
3.65,1.259e-05,0.8709121019452609,0.24592247485993585
3.879,4.6670000000000005e-05,0.843987856717419,0.30444263358094664
3.879,4.325e-05,0.8439543815542355,0.3044305584465024
3.879,3.983e-05,0.8439209032964259,0.3044184821957671
3.879,3.709333333333333e-05,0.8438941119364469,0.30440881803753983
3.879,3.435666666666667e-05,0.8438673185969306,0.30439915316525545
3.879,3.162e-05,0.8438405232787612,0.30438948757923284
3.879,2.945333333333333e-05,0.8438193075558419,0.3043818346604053
3.879,2.7286666666666667e-05,0.8437980905936624,0.3043741812945528
3.879,2.512e-05,0.8437768723926617,0.30436652748183374
3.879,2.3396666666666666e-05,0.8437599948777796,0.3043604394379856
3.879,2.1673333333333335e-05,0.8437431165796723,0.304354351111613
3.879,1.995e-05,0.8437262374985595,0.30434826250279534
3.879,1.8583333333333332e-05,0.8437128512103739,0.3043434338114858
3.879,1.7216666666666667e-05,0.8436994644299994,0.30433860494263426
3.879,1.585e-05,0.8436860771575461,0.3043337758962804
3.879,1.4763333333333333e-05,0.8436754322922425,0.30432993608886927
3.879,1.3676666666666666e-05,0.8436647871159623,0.3043260961692829
3.879,1.259e-05,0.8436541416287604,0.3043222561375411
4.187,9.309333333333333e-05,0.9183896298040277,0.22021263303845043
4.187,8.628666666666668e-05,0.9183540303277226,0.2202040969507622
4.187,7.948e-05,0.9183184199567749,0.22019555825074275
4.187,7.401333333333333e-05,0.9182898121650416,0.22018869863807014
4.187,6.854666666666667e-05,0.9182611973511546,0.22018183734161662
4.187,6.308e-05,0.918232575517412,0.22017497436193312
4.187,5.875e-05,0.9182098999501472,0.22016953718558557
4.187,5.4420000000000004e-05,0.9181872199813497,0.22016409895383288
4.187,5.009e-05,0.9181645356121612,0.22015865966694884
4.187,4.6670000000000005e-05,0.9181466155180931,0.22015436276401032
4.187,4.325e-05,0.9181286926801405,0.22015006520313968
4.187,3.983e-05,0.9181107670988656,0.22014576698447172
4.187,3.709333333333333e-05,0.918096421164072,0.22014232709798803
4.187,3.435666666666667e-05,0.918082073473345,0.22013888679046445
4.187,3.162e-05,0.9180677240269737,0.2201354460619702
4.187,2.945333333333333e-05,0.9180563620753153,0.22013272167875642
4.187,2.7286666666666667e-05,0.918044999023514,0.220129997031749
4.187,2.512e-05,0.9180336348717127,0.22012727212098213
4.187,2.3396666666666666e-05,0.9180245952148868,0.22012510458057574
4.187,2.1673333333333335e-05,0.918015554862323,0.22012293687334444
4.187,1.995e-05,0.9180065138140936,0.22012076899930558
4.193,4.6670000000000005e-05,0.9240616720005251,0.22157268252753537
4.193,4.325e-05,0.9240434003160104,0.22156830131979252
4.193,3.983e-05,0.9240251258488617,0.22156391944482617
4.193,3.709333333333333e-05,0.9240105007090568,0.22156041261020995
4.193,3.435666666666667e-05,0.9239958737881667,0.22155690534852285
4.193,3.162e-05,0.9239812450864886,0.22155339765983612
4.193,2.945333333333333e-05,0.9239696620257123,0.22155062025879693
4.193,2.7286666666666667e-05,0.9239580778490423,0.22154784259018734
4.193,2.512e-05,0.9239464925566261,0.2215450646540427
4.193,2.3396666666666666e-05,0.9239372769967171,0.22154285493537143
4.193,2.1673333333333335e-05,0.9239280607311133,0.22154064504748774
4.193,1.995e-05,0.9239188437598893,0.22153843499040957
4.193,1.8583333333333332e-05,0.9239115338613534,0.22153668221364511
4.193,1.7216666666666667e-05,0.9239042235191314,0.22153492933049304
4.193,1.585e-05,0.9238969127332604,0.22153317634096226
4.193,1.4763333333333333e-05,0.9238910994503389,0.22153178242459254
4.193,1.3676666666666666e-05,0.923885285886976,0.22153038844097828
4.193,1.259e-05,0.9238794720431905,0.2215289943901239
